epoch,examples,avg_loss,w_out_norm
0,450,5.3834,3.2722
1,450,1.2673,5.7205
2,450,1.0148,7.1981
3,450,0.8254,7.9785
4,450,0.56,8.4034
5,450,0.4532,8.7238
6,450,0.3013,8.6979
7,449,0.2192,8.625
8,449,0.0631,8.2564
9,444,0.0988,7.9662
10,445,0.0119,7.6275
11,430,0.0011,7.3258
12,430,0.0002,7.0697
13,426,0.0001,6.8799
14,424,0.0001,6.7426
15,427,0.0001,6.6455
16,425,0.0001,6.5903
17,422,0.0001,6.5604
18,424,0.0001,6.5493
19,425,0.0001,6.5476
